Month,E,U,Us
"Jan
1948",58061,2034,1188
"Feb
1948",58196,2328,1377
"Mar
1948",57671,2399,1279
"Apr
1948",58291,2386,1461
"May
1948",57854,2118,1146
"Jun
1948",58743,2214,1287
"Jul
1948",58968,2213,1259
"Aug
1948",58456,2350,1511
"Sep
1948",58513,2302,1245
"Oct
1948",58387,2259,1210
"Nov
1948",58417,2285,1251
"Dec
1948",58740,2429,1432
"Jan
1949",58175,2596,1510
"Feb
1949",58208,2849,1603
"Mar
1949",58043,3030,1631
"Apr
1949",57747,3260,1652
"May
1949",57552,3707,1884
"Jun
1949",57172,3776,1729
"Jul
1949",57190,4111,1852
"Aug
1949",57397,4193,1874
"Sep
1949",57584,4049,1651
"Oct
1949",57269,4916,2332
"Nov
1949",58009,3996,1747
"Dec
1949",57845,4063,1748
"Jan
1950",57635,4026,1780
"Feb
1950",57751,3936,1600
"Mar
1950",57728,3876,1503
"Apr
1950",58583,3575,1472
"May
1950",58649,3434,1464
"Jun
1950",59052,3367,1468
"Jul
1950",59001,3120,1411
"Aug
1950",59797,2799,1251
"Sep
1950",59575,2774,1272
"Oct
1950",59803,2625,1262
"Nov
1950",59697,2589,1354
"Dec
1950",59429,2639,1459
"Jan
1951",59636,2305,1115
"Feb
1951",59661,2117,1107
"Mar
1951",60401,2125,1215
"Apr
1951",59889,1919,1160
"May
1951",60188,1856,1125
"Jun
1951",59620,1995,1125
"Jul
1951",60156,1950,1183
"Aug
1951",59994,1933,1184
"Sep
1951",59713,2067,1294
"Oct
1951",60010,2194,1279
"Nov
1951",59836,2178,1233
"Dec
1951",60497,1960,1138
"Jan
1952",60460,1972,1066
"Feb
1952",60462,1957,1181
"Mar
1952",59908,1813,1150
"Apr
1952",59909,1811,1137
"May
1952",60195,1863,1179
"Jun
1952",60219,1884,1196
"Jul
1952",59971,1991,1187
"Aug
1952",59790,2087,1270
"Sep
1952",60521,1936,1130
"Oct
1952",60132,1839,1050
"Nov
1952",60748,1743,1017
"Dec
1952",60954,1667,1044
"Jan
1953",61600,1839,1059
"Feb
1953",61884,1636,1068
"Mar
1953",62010,1647,1029
"Apr
1953",61444,1723,1131
"May
1953",61019,1596,973
"Jun
1953",61456,1607,985
"Jul
1953",61397,1660,1002
"Aug
1953",61151,1665,1076
"Sep
1953",60906,1821,1163
"Oct
1953",60893,1974,1242
"Nov
1953",60738,2211,1307
"Dec
1953",59977,2818,1761
"Jan
1954",60024,3077,1631
"Feb
1954",60663,3331,1706
"Mar
1954",60186,3607,1729
"Apr
1954",60185,3749,1725
"May
1954",59908,3767,1643
"Jun
1954",59792,3551,1573
"Jul
1954",59643,3659,1623
"Aug
1954",59853,3854,1587
"Sep
1954",60282,3927,1640
"Oct
1954",60270,3666,1535
"Nov
1954",60357,3402,1457
"Dec
1954",60116,3196,1414
"Jan
1955",60753,3157,1398
"Feb
1955",60727,2969,1296
"Mar
1955",60964,2918,1184
"Apr
1955",61515,3049,1301
"May
1955",61634,2747,1295
"Jun
1955",61781,2701,1305
"Jul
1955",62513,2632,1282
"Aug
1955",62797,2784,1445
"Sep
1955",62950,2678,1357
"Oct
1955",62991,2830,1429
"Nov
1955",63257,2780,1386
"Dec
1955",63684,2761,1338
"Jan
1956",63753,2666,1336
"Feb
1956",63518,2606,1289
"Mar
1956",63411,2764,1502
"Apr
1956",63614,2650,1353
"May
1956",63861,2861,1483
"Jun
1956",63820,2882,1505
"Jul
1956",63800,2952,1469
"Aug
1956",63972,2701,1376
"Sep
1956",64079,2635,1356
"Oct
1956",63975,2571,1319
"Nov
1956",63796,2861,1481
"Dec
1956",63910,2790,1446
"Jan
1957",63632,2796,1373
"Feb
1957",64257,2622,1293
"Mar
1957",64404,2509,1241
"Apr
1957",64047,2600,1335
"May
1957",63985,2710,1423
"Jun
1957",64196,2856,1392
"Jul
1957",64540,2796,1366
"Aug
1957",63959,2747,1395
"Sep
1957",64121,2943,1484
"Oct
1957",64046,3020,1399
"Nov
1957",63669,3454,1598
"Dec
1957",63922,3476,1585
"Jan
1958",63220,3875,1701
"Feb
1958",62898,4303,1883
"Mar
1958",62731,4492,1933
"Apr
1958",62631,5016,1881
"May
1958",62874,5021,1855
"Jun
1958",62730,4944,1755
"Jul
1958",62745,5079,1818
"Aug
1958",63012,5025,1760
"Sep
1958",63181,4821,1626
"Oct
1958",63475,4570,1643
"Nov
1958",63470,4188,1531
"Dec
1958",63549,4191,1692
"Jan
1959",63868,4068,1574
"Feb
1959",63684,3965,1554
"Mar
1959",64267,3801,1459
"Apr
1959",64768,3571,1494
"May
1959",64699,3479,1479
"Jun
1959",64849,3429,1522
"Jul
1959",65011,3528,1591
"Aug
1959",64844,3588,1607
"Sep
1959",64770,3775,1602
"Oct
1959",64911,3910,1750
"Nov
1959",64530,4003,1745
"Dec
1959",65341,3653,1657
"Jan
1960",65347,3615,1638
"Feb
1960",65620,3329,1431
"Mar
1960",64673,3726,1666
"Apr
1960",65959,3620,1735
"May
1960",66057,3569,1718
"Jun
1960",66168,3766,1738
"Jul
1960",65909,3836,1709
"Aug
1960",65895,3946,1746
"Sep
1960",66267,3884,1677
"Oct
1960",65632,4252,1766
"Nov
1960",66109,4330,1718
"Dec
1960",65778,4617,2102
"Jan
1961",65776,4671,1884
"Feb
1961",65588,4832,2037
"Mar
1961",65850,4853,1863
"Apr
1961",65374,4893,1729
"May
1961",65449,5003,1748
"Jun
1961",65993,4885,1841
"Jul
1961",65608,4928,1789
"Aug
1961",65852,4682,1701
"Sep
1961",65541,4676,1859
"Oct
1961",65919,4573,1811
"Nov
1961",66081,4295,1638
"Dec
1961",65900,4177,1734
"Jan
1962",66108,4081,1701
"Feb
1962",66538,3871,1504
"Mar
1962",66493,3921,1721
"Apr
1962",66372,3906,1629
"May
1962",66688,3863,1543
"Jun
1962",66670,3844,1598
"Jul
1962",66483,3819,1592
"Aug
1962",66968,4013,1731
"Sep
1962",67192,3961,1749
"Oct
1962",67114,3803,1636
"Nov
1962",66847,4024,1838
"Dec
1962",66947,3907,1732
"Jan
1963",67072,4074,1730
"Feb
1963",67024,4238,1858
"Mar
1963",67351,4072,1701
"Apr
1963",67642,4055,1717
"May
1963",67615,4217,1870
"Jun
1963",67649,3977,1719
"Jul
1963",67905,4051,1693
"Aug
1963",67908,3878,1677
"Sep
1963",68174,3957,1695
"Oct
1963",68294,3987,1738
"Nov
1963",68267,4151,1859
"Dec
1963",68213,3975,1774
"Jan
1964",68327,4029,1805
"Feb
1964",68751,3932,1708
"Mar
1964",68763,3950,1783
"Apr
1964",69356,3918,1767
"May
1964",69631,3764,1681
"Jun
1964",69218,3814,1719
"Jul
1964",69399,3608,1486
"Aug
1964",69463,3655,1696
"Sep
1964",69578,3712,1703
"Oct
1964",69582,3726,1754
"Nov
1964",69735,3551,1596
"Dec
1964",69814,3651,1672
"Jan
1965",69997,3572,1626
"Feb
1965",70127,3730,1743
"Mar
1965",70439,3510,1702
"Apr
1965",70633,3595,1747
"May
1965",71034,3432,1670
"Jun
1965",71025,3387,1656
"Jul
1965",71460,3301,1654
"Aug
1965",71362,3254,1613
"Sep
1965",71286,3216,1627
"Oct
1965",71695,3143,1533
"Nov
1965",71724,3073,1531
"Dec
1965",72062,3031,1436
"Jan
1966",72198,2988,1523
"Feb
1966",72134,2820,1505
"Mar
1966",72188,2887,1523
"Apr
1966",72510,2828,1563
"May
1966",72497,2950,1631
"Jun
1966",72775,2872,1647
"Jul
1966",72860,2876,1640
"Aug
1966",73146,2900,1622
"Sep
1966",73258,2798,1555
"Oct
1966",73401,2798,1541
"Nov
1966",73840,2770,1499
"Dec
1966",73729,2912,1582
"Jan
1967",73671,2968,1608
"Feb
1967",73606,2915,1596
"Mar
1967",73439,2889,1586
"Apr
1967",73882,2895,1547
"May
1967",73844,2929,1581
"Jun
1967",74278,2992,1704
"Jul
1967",74520,2944,1642
"Aug
1967",74767,2945,1595
"Sep
1967",74854,2958,1667
"Oct
1967",75051,3143,1730
"Nov
1967",75125,3066,1680
"Dec
1967",75473,3018,1616
"Jan
1968",74700,2878,1458
"Feb
1968",75229,3001,1710
"Mar
1968",75379,2877,1651
"Apr
1968",75561,2709,1436
"May
1968",76107,2740,1567
"Jun
1968",76182,2938,1755
"Jul
1968",76087,2883,1647
"Aug
1968",76043,2768,1645
"Sep
1968",76172,2686,1534
"Oct
1968",76224,2689,1507
"Nov
1968",76494,2715,1593
"Dec
1968",76778,2685,1527
"Jan
1969",76805,2718,1554
"Feb
1969",77327,2692,1442
"Mar
1969",77367,2712,1603
"Apr
1969",77523,2758,1600
"May
1969",77412,2713,1649
"Jun
1969",77880,2816,1664
"Jul
1969",77959,2868,1686
"Aug
1969",78250,2856,1637
"Sep
1969",78250,3040,1693
"Oct
1969",78445,3049,1814
"Nov
1969",78541,2856,1580
"Dec
1969",78740,2884,1585
"Jan
1970",78780,3201,1800
"Feb
1970",78698,3453,1950
"Mar
1970",78863,3635,1978
"Apr
1970",78930,3797,2139
"May
1970",78564,3919,2109
"Jun
1970",78413,4071,2100
"Jul
1970",78726,4175,2132
"Aug
1970",78624,4256,2182
"Sep
1970",78498,4456,2235
"Oct
1970",78685,4591,2386
"Nov
1970",78650,4898,2338
"Dec
1970",78594,5076,2369
"Jan
1971",78864,4986,2302
"Feb
1971",78700,4903,2178
"Mar
1971",78588,4987,2144
"Apr
1971",78987,4959,2206
"May
1971",79139,4996,2229
"Jun
1971",78757,4949,2180
"Jul
1971",79305,5035,2210
"Aug
1971",79539,5134,2337
"Sep
1971",79689,5042,2301
"Oct
1971",79918,4954,2222
"Nov
1971",80297,5161,2304
"Dec
1971",80471,5154,2320
"Jan
1972",80959,5019,2324
"Feb
1972",81108,4928,2111
"Mar
1972",81573,5038,2303
"Apr
1972",81655,4959,2229
"May
1972",81887,4922,2192
"Jun
1972",82083,4923,2279
"Jul
1972",82230,4913,2248
"Aug
1972",82578,4939,2285
"Sep
1972",82543,4849,2353
"Oct
1972",82616,4875,2351
"Nov
1972",82990,4602,2191
"Dec
1972",83400,4543,2003
"Jan
1973",83161,4326,2035
"Feb
1973",83912,4452,2259
"Mar
1973",84452,4394,2136
"Apr
1973",84559,4459,2260
"May
1973",84648,4329,2223
"Jun
1973",85185,4363,2322
"Jul
1973",85299,4305,2271
"Aug
1973",85204,4305,2290
"Sep
1973",85488,4350,2211
"Oct
1973",85987,4144,2063
"Nov
1973",86320,4396,2288
"Dec
1973",86401,4489,2332
"Jan
1974",86555,4644,2400
"Feb
1974",86754,4731,2432
"Mar
1974",86819,4634,2413
"Apr
1974",86669,4618,2337
"May
1974",86891,4705,2457
"Jun
1974",86941,4927,2497
"Jul
1974",87149,5063,2526
"Aug
1974",87037,5022,2609
"Sep
1974",87051,5437,2723
"Oct
1974",86995,5523,2723
"Nov
1974",86626,6140,3052
"Dec
1974",86144,6636,3125
"Jan
1975",85627,7501,3293
"Feb
1975",85256,7520,2947
"Mar
1975",85187,7978,3193
"Apr
1975",85189,8210,2915
"May
1975",85451,8433,3051
"Jun
1975",85355,8220,2872
"Jul
1975",85894,8127,2882
"Aug
1975",86234,7928,2808
"Sep
1975",86279,7923,2878
"Oct
1975",86370,7897,2962
"Nov
1975",86456,7794,2718
"Dec
1975",86665,7744,2762
"Jan
1976",87400,7534,2749
"Feb
1976",87672,7326,2799
"Mar
1976",87985,7230,2628
"Apr
1976",88416,7330,2938
"May
1976",88794,7053,2795
"Jun
1976",88563,7322,2787
"Jul
1976",89093,7490,2965
"Aug
1976",89223,7518,2893
"Sep
1976",89173,7380,2910
"Oct
1976",89274,7430,2945
"Nov
1976",89634,7620,2826
"Dec
1976",89803,7545,2921
"Jan
1977",89928,7280,2894
"Feb
1977",90342,7443,3015
"Mar
1977",90808,7307,2993
"Apr
1977",91271,7059,3015
"May
1977",91754,6911,2754
"Jun
1977",91959,7134,3138
"Jul
1977",92084,6829,2859
"Aug
1977",92441,6925,2896
"Sep
1977",92702,6751,2883
"Oct
1977",93052,6763,2883
"Nov
1977",93761,6815,2924
"Dec
1977",94105,6386,2729
"Jan
1978",94384,6489,2824
"Feb
1978",94519,6318,2764
"Mar
1978",94755,6337,2871
"Apr
1978",95394,6180,2750
"May
1978",95769,6127,2870
"Jun
1978",96343,6028,2788
"Jul
1978",96090,6309,3069
"Aug
1978",96431,6080,2858
"Sep
1978",96670,6125,2941
"Oct
1978",97133,5947,2786
"Nov
1978",97485,6077,2903
"Dec
1978",97581,6228,2978
"Jan
1979",97948,6109,2791
"Feb
1979",98329,6173,2899
"Mar
1979",98480,6109,2843
"Apr
1979",98103,6069,2938
"May
1979",98331,5840,2773
"Jun
1979",98679,5959,2947
"Jul
1979",99006,5996,2890
"Aug
1979",98776,6320,3296
"Sep
1979",99340,6190,2946
"Oct
1979",99404,6296,3039
"Nov
1979",99574,6238,3030
"Dec
1979",99933,6325,3013
"Jan
1980",99879,6683,3215
"Feb
1980",99995,6702,3134
"Mar
1980",99713,6729,3097
"Apr
1980",99233,7358,3374
"May
1980",98945,7984,3754
"Jun
1980",98682,8098,3409
"Jul
1980",98796,8363,3458
"Aug
1980",98824,8281,3415
"Sep
1980",99077,8021,3150
"Oct
1980",99317,8088,3236
"Nov
1980",99545,8023,3146
"Dec
1980",99634,7718,3097
"Jan
1981",99955,8071,3318
"Feb
1981",100191,8051,3287
"Mar
1981",100571,7982,3328
"Apr
1981",101056,7869,3185
"May
1981",101048,8174,3409
"Jun
1981",100298,8098,3340
"Jul
1981",100693,7863,3307
"Aug
1981",100689,8036,3320
"Sep
1981",100064,8230,3493
"Oct
1981",100378,8646,3656
"Nov
1981",100207,9029,3812
"Dec
1981",99645,9267,3949
"Jan
1982",99692,9397,3924
"Feb
1982",99762,9705,3808
"Mar
1982",99672,9895,3896
"Apr
1982",99576,10244,3951
"May
1982",100116,10335,3885
"Jun
1982",99543,10538,3606
"Jul
1982",99493,10849,3929
"Aug
1982",99633,10881,3895
"Sep
1982",99504,11217,3966
"Oct
1982",99215,11529,3873
"Nov
1982",99112,11938,3974
"Dec
1982",99032,12051,3939
"Jan
1983",99161,11534,3654
"Feb
1983",99089,11545,3717
"Mar
1983",99179,11408,3502
"Apr
1983",99560,11268,3539
"May
1983",99642,11154,3531
"Jun
1983",100633,11246,3686
"Jul
1983",101208,10548,3459
"Aug
1983",101608,10623,3632
"Sep
1983",102016,10282,3768
"Oct
1983",102039,9887,3491
"Nov
1983",102729,9499,3347
"Dec
1983",102996,9331,3455
"Jan
1984",103201,9008,3309
"Feb
1984",103824,8791,3327
"Mar
1984",103967,8746,3335
"Apr
1984",104336,8762,3362
"May
1984",105193,8456,3167
"Jun
1984",105591,8226,3261
"Jul
1984",105435,8537,3392
